Section,SubSection,Action,DedupeKey,Manual Binding
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET ELECTRIC FUEL PUMP,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET ELECTRIC FUEL PUMP 1,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET ELECTRIC FUEL PUMP 2,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET ELECTRIC FUEL PUMP 3,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET ELECTRIC FUEL PUMP 4,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET ELECTRICAL LINE BREAKER,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE ELECTRICAL LINE BREAKER,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET ELECTRICAL LINE CONNECTION,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE ELECTRICAL LINE CONNECTION,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET GLARESHIELD LIGHTS POWER SETTING,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,MASTER BATTERY OFF,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,MASTER BATTERY ON,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET MASTER BATTERY,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET PANEL LIGHTS POWER SETTING,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET PEDESTAL LIGHTS POWER SETTING,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET EXTERNAL POWER,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE ALTERNATOR 1,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE ALTERNATOR 2,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE ALTERNATOR 3,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE ALTERNATOR 4,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE ELECTRIC FUEL PUMPS,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE ELECTRIC FUEL PUMP 1,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE ELECTRIC FUEL PUMP 2,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE ELECTRIC FUEL PUMP 3,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE ELECTRIC FUEL PUMP 4,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE ELECTRIC VACUUM PUMP,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE EXTERNAL POWER,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE MASTER ALTERNATOR,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE MASTER BATTERY,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE MASTER BATTERY AND ALTERNATOR,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,WAR EMERGENCY POWER,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET ELECTRICAL CIRCUIT POWER SETTING,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,EXECUTE ELECTRICAL PROCEDURE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,SET ENGINES GRADUAL ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,SET ENGINE 1 GRADUAL ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,SET ENGINE 2 GRADUAL ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,SET ENGINE 3 GRADUAL ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,SET ENGINE 4 GRADUAL ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,SET ANTI ICE OFF,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,SET ANTI ICE ON,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,SET ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,SET ENGINE 1 ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,SET ENGINE 2 ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,SET ENGINE 3 ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,SET ENGINE 4 ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,TOGGLE ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,TOGGLE ENGINE 1 ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,TOGGLE ENGINE 2 ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,TOGGLE ENGINE 3 ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,TOGGLE ENGINE 4 ANTI ICE,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,PITOT HEAT OFF,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,PITOT HEAT ON,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,SET PITOT HEAT,,
INSTRUMENTS AND SYSTEMS,ANTI ICE,TOGGLE PITOT HEAT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET APU BLEED AIR SOURCE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE APU BLEED AIR SOURCE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET APU BLEED TO ENGINE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE APU BLEED TO ENGINE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE BLEED AIR SOURCE CONTROL,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE BLEED AIR SOURCE CONTROL,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET BLEED AIR CONTROL SOURCE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE COWL FLAP,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE COWL FLAP 1,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE COWL FLAP 2,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE COWL FLAP 3,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE COWL FLAP 4,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE EGT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE EGT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE EGT 1,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE EGT 1,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE EGT 2,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE EGT 2,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE EGT 3,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE EGT 3,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE EGT 4,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE EGT 4,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET ENGINE BLEED AIR SOURCE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE ENGINE BLEED AIR SOURCE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE ENGINE BYPASS,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET ENGINE MASTER 1,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE ENGINE MASTER 1,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET ENGINE MASTER 2,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE ENGINE MASTER 2,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET ENGINE MASTER 3,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE ENGINE MASTER 3,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET ENGINE MASTER 4,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE ENGINE MASTER 4,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET ENGINE MASTER,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE ENGINE MASTER,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET ENGINE CRANK MODE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET ENGINE IGN/ START MODE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET ENGINE NORM MODE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,ENGINE PRIMER,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE COWL FLAP,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE COWL FLAP 1,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE COWL FLAP 2,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE COWL FLAP 3,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE COWL FLAP 4,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETOS BOTH,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE MAGNETO,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE MAGNETO,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETOS LEFT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETOS OFF,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETOS RIGHT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETOS START,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 1 BOTH,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE MAGNETO 1,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE MAGNETO 1,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 1 LEFT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 1 OFF,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 1 RIGHT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 1 START,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 2 BOTH,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE MAGNETO 2,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE MAGNETO 2,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 2 LEFT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 2 OFF,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 2 RIGHT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 2 START,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 3 BOTH,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE MAGNETO 3,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE MAGNETO 3,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 3 LEFT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 3 OFF,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 3 RIGHT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 3 START,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 4 BOTH,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,DECREASE MAGNETO 4,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,INCREASE MAGNETO 4,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 4 LEFT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 4 OFF,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 4 RIGHT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO 4 START,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET PLASMA OFF,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET PLASMA ON,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET PLASMA,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE PLASMA,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,RESET MAX RPM INDICATOR,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET STARTERS (HOLD),,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET STARTER 1 (HOLD),,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET STARTER 2 (HOLD),,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET STARTER 3 (HOLD),,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET STARTER 4 (HOLD),,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,STARTERS OFF,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET STARTERS,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,STARTERS START,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET STARTER 1,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET STARTER 2,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET STARTER 3,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET STARTER 4,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE AFTERBURNER,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE AFTERBURNER1,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE AFTERBURNER2,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE AFTERBURNER3,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE AFTERBURNER4,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE ALL STARTERS,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE MASTER IGNITION SWITCH,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE MASTER STARTER SWITCH,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE PROPELLER DEICE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE STARTER 1,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE STARTER 2,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE STARTER 3,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE STARTER 4,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE STRUCTURAL DEICE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET TURBINES IGNITION SWITCH,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET TURBINE 1 IGNITION SWITCH,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET TURBINE 2 IGNITION SWITCH,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET TURBINE 3 IGNITION SWITCH,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET TURBINE 4 IGNITION SWITCH,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE TURBINE IGNITION SWITCH,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET WINDSHIELD DEICE OFF,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET WINDSHIELD DEICE ON,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET WINDSHIELD DEICE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE WINDSHIELD DEICE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,ENGINE TRIM RPM DECREASE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,ENGINE TRIM RPM INCREASE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,HELICOPTER ENGINE 1 BEEP TRIM DECREASE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,HELICOPTER ENGINE 1 BEEP TRIM INCREASE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,HELICOPTER ENGINE 1 GOVERNOR SWITCH OFF,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,HELICOPTER ENGINE 1 GOVERNOR SWITCH ON,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE HELICOPTER ENGINE 1 GOVERNOR,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,HELICOPTER ENGINE 2 BEEP TRIM DECREASE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,HELICOPTER ENGINE 2 BEEP TRIM INCREASE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,HELICOPTER ENGINE 2 GOVERNOR SWITCH OFF,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,HELICOPTER ENGINE 2 GOVERNOR SWITCH ON,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE HELICOPTER ENGINE 2 GOVERNOR,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET ENGINE 1 COWL FLAP,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET ENGINE 2 COWL FLAP,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET ENGINE 3 COWL FLAP,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET ENGINE 4 COWL FLAP,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,EGT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET EGT,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET EGT 1,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET EGT 2,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET EGT 3,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET EGT 4,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SELECT ENGINE,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETO,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET MAGNETOS,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET MAGNETO 1,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET MAGNETO 2,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET MAGNETO 3,,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,SET MAGNETO 4,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,DECREASE ATTITUDE BARS POSITION,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,INCREASE ATTITUDE BARS POSITION,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET ATTITUDE BARS POSITION,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,AUTORUDDER OFF,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,AUTORUDDER ON,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET AUTORUDDER,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,TOGGLE AUTORUDDER,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,AVIONICS MASTER 1 OFF,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,AVIONICS MASTER 1 ON,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET AVIONICS MASTER 1,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,AVIONICS MASTER 2 OFF,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,AVIONICS MASTER 2 ON,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET AVIONICS MASTER 2,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET AVIONICS MASTER,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,DECREASE DECISION ALTITUDE (MSL),,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,INCREASE DECISION ALTITUDE (MSL),,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,DECREASE DECISION HEIGHT,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,INCREASE DECISION HEIGHT,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,ELT OFF,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,ELT ON,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET ELT,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,TOGGLE ELT,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET EXTERNAL SYSTEM,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,TOGGLE EXTERNAL SYSTEM,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,DECREASE HEADING INDICATOR DRIFT,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,INCREASE HEADING INDICATOR DRIFT,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,DECREASE HEADING BUG,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,INCREASE HEADING BUG,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,DECREASE INDUCTOR COMPASS REFERENCE,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,INCREASE INDUCTOR COMPASS REFERENCE,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,DECREASE MAC CREADY SETTING,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,INCREASE MAC CREADY SETTING,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,ACKNOWLEDGE MASTER CAUTION,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,MASTER CAUTION OFF,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,MASTER CAUTION ON,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET MASTER CAUTION,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,TOGGLE MASTER CAUTION,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,ACKNOWLEDGE MASTER WARNING,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,MASTER WARNING OFF,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,MASTER WARNING ON,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET MASTER WARNING,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,TOGGLE MASTER WARNING,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,DECREASE CLIMB RATE PRESSURE,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,INCREASE CLIMB RATE PRESSURE,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET CLIMB RATE PRESSURE,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,DECREASE ALTITUDE PRESSURE,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,INCREASE ALTITUDE PRESSURE,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,PRESSURE DUMP SWITCH,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,RESET G-FORCE INDICATOR,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,TOGGLE ALTERNATE STATIC,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,TOGGLE ATTITUDE CAGE,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,TOGGLE AVIONICS MASTER,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,TOGGLE GPS DRIVES NAV1,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,TOGGLE TURN INDICATOR SWITCH,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,TOGGLE VARIOMETER SWITCH,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET TRUE AIRSPEED CALCULATOR,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,DECREASE TRUE AIRSPEED INDICATOR,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,INCREASE TRUE AIRSPEED INDICATOR,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET ZULU DAY,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET ZULU HOURS,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET ZULU MINUTES,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET ZULU YEAR,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,AUTO HOVER OFF,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,AUTO HOVER ON,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET AUTO HOVER,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,TOGGLE AUTO HOVER,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,ROTOR GOVERNOR SWITCH OFF,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,ROTOR GOVERNOR SWITCH ON,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,TOGGLE ENGINE GOV SWITCH,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SELECT AIRSPEED BUG,,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SELECT ALTITUDE BUG,,
